@relation economia

@attribute estrada
@attribute morro
@attribute 7vel
@attribute dualogic
@attribute tiptronic
@attribute cvt
@attribute overdrive
@attribute paddle_shift
@attribute manual
@attribute sequencial

@attribute class {Altissimo_consumo, Alto_consumo, Baixo_Consumo, Muito_economico}

@data
11,10,10,12,13,11,13,13,10,10,Altissimo_consumo
11,12,13,10,13,10,13,12,11,12,Altissimo_consumo
11,13,10,10,10,12,12,13,11,10,Altissimo_consumo
11,13,13,13,12,13,10,10,11,10,Altissimo_consumo
11,10,12,11,13,12,12,13,10,13,Altissimo_consumo
11,10,12,13,12,11,11,10,10,11,Altissimo_consumo
11,11,13,13,11,10,12,13,10,12,Altissimo_consumo
12,11,10,12,13,11,11,11,10,12,Altissimo_consumo
12,13,12,12,10,10,11,12,11,10,Altissimo_consumo
12,11,13,10,11,12,10,10,10,12,Altissimo_consumo
11,11,10,12,11,10,13,10,10,10,Altissimo_consumo
11,13,12,11,10,10,11,12,12,13,Altissimo_consumo
12,13,11,10,13,10,10,10,12,10,Altissimo_consumo
12,11,13,10,12,13,11,11,10,10,Altissimo_consumo
12,10,10,13,10,10,10,13,13,10,Altissimo_consumo
11,10,10,10,13,13,10,13,10,10,Altissimo_consumo
12,11,10,10,10,12,11,12,13,12,Altissimo_consumo
12,10,10,10,12,13,12,12,10,13,Altissimo_consumo
11,13,10,10,12,13,10,13,10,10,Altissimo_consumo
11,12,13,10,13,10,12,13,10,10,Altissimo_consumo
11,12,10,12,10,11,10,12,10,12,Altissimo_consumo
11,12,10,10,10,10,10,11,11,10,Altissimo_consumo
12,13,13,10,11,11,13,10,11,10,Altissimo_consumo
12,12,13,13,10,12,12,11,10,10,Altissimo_consumo
12,11,11,11,10,11,13,13,12,12,Altissimo_consumo
11,11,11,11,13,11,10,10,10,12,Altissimo_consumo
11,13,13,11,13,10,12,12,10,13,Altissimo_consumo
11,13,12,11,12,10,11,12,12,11,Altissimo_consumo
11,11,10,11,12,13,13,12,12,10,Altissimo_consumo
12,13,10,12,10,12,10,11,11,10,Altissimo_consumo
